zipcode,2011,2012,2013,2014,2015
19067,327875.0,321783.333333,324866.666667,340350.0,340625.0
19102,329766.666667,335500.0,353808.333333,366041.666667,350375.0
19104,85016.666667,74058.333333,80966.666667,94108.333333,99650.0
19106,328033.333333,313858.333333,313891.666667,340516.666667,327225.0
19107,268350.0,267416.666667,272283.333333,283708.333333,269508.333333
19111,150450.0,145883.333333,145400.0,145900.0,147008.333333
19116,210491.666667,208258.333333,205708.333333,209658.333333,209050.0
19123,266325.0,258900.0,268308.333333,299491.666667,324458.333333
19131,83133.333333,78066.666667,78041.666667,82600.0,82966.666667
19132,39758.333332999995,38525.0,38700.0,41625.0,36308.333332999995
19139,56991.666667,52141.666667000005,55091.666667,57666.666667,57850.0
19144,91258.333333,89425.0,92516.666667,100658.333333,113183.33333299999
19146,135350.0,128633.33333299999,151716.666667,187000.0,213175.0
19365,171200.0,174358.333333,172016.666667,184891.666667,185016.666667
19382,339825.0,337008.333333,344916.666667,366633.333333,373091.666667
19403,239800.0,235166.666667,241533.333333,252066.666667,247791.666667
19506,194591.666667,184933.333333,191241.666667,200358.333333,203433.333333
19520,255025.0,248900.0,254908.333333,263208.333333,267475.0
19543,235458.333333,228491.666667,229233.333333,237033.333333,237683.333333
19565,168450.0,163508.333333,167833.333333,173241.666667,173725.0
19601,60641.666667,59066.666667,58475.0,61191.666667,63133.333333
19605,149666.666667,142391.666667,144075.0,148341.666667,149091.666667
19611,105283.333333,97441.666667,97200.0,101475.0,98158.333333
19703,175541.666667,171375.0,178183.333333,188441.666667,190608.333333
19734,244658.333333,238400.0,246216.666667,253550.0,259350.0
19806,259633.333333,248950.0,256508.333333,268958.333333,260933.333333
19808,236075.0,226825.0,235308.333333,252350.0,244200.0
19901,144350.0,141100.0,145316.666667,149391.666667,152241.666667
20001,403891.666667,438391.666667,499341.666667,543925.0,575250.0
20002,342858.333333,381150.0,442166.666667,494308.333333,537608.333333
20004,402775.0,425208.333333,439866.666667,458833.333333,459033.333333
20005,393725.0,413225.0,436341.666667,467633.333333,479591.666667
