intensity,lat,lng
1,36.008599,-79.87816
3,28.671439000000003,-81.553055
1,29.881613,-93.94085799999999
1,36.103667,-79.813712
2,36.103729,-79.93983
1,29.95802,-93.891921
2,28.663959000000002,-81.315021
2,40.872799,-73.52502
1,28.687105,-81.273445
2,40.168801,-123.826148
8,40.76178,-72.98740699999999
1,45.29372,-111.649073
1,40.472423,-124.12183999999999
1,35.112079,-80.764415
29,40.913615,-73.046398
1,40.455189000000004,-124.015148
2,40.956068,-73.066659
3,35.127358,-80.946846
2,40.948046000000005,-72.937093
9,40.812958,-73.11449
2,27.761109,-82.40858
3,35.052875,-80.817552
5,35.133432,-81.009357
2,33.682738,-111.99806299999999
2,33.558659000000006,-112.13241799999999
1,37.917958,-97.460022
1,41.905187,-72.772551
1,33.629922,-112.13160900000001
1,33.678536,-111.94109499999999
1,27.796231,-82.293653
1,40.175715999999994,-75.893777
7,37.656153,-77.53778299999999
1,41.366331,-82.259924
1,46.884369,-98.766655
1,37.262931,-76.507489
2,41.917911,-72.583371
1,37.712553,-78.00613
1,40.923063,-74.73579000000001
1,37.335871999999995,-89.57581400000001
1,39.402639,-106.80498300000001
1,35.288036,-82.394669
1,30.280559000000004,-81.412074
3,30.340961,-81.734788
15,30.175203999999997,-81.47278399999999
2,30.189349,-81.61247
5,47.740485,-122.342826
4,47.578096,-122.33786
266,33.819814,-118.222416
1,30.075017,-81.586854
1,47.536464,-122.39440900000001
269,33.782259,-118.196793
2,35.979766999999995,-84.002156
104,33.771615999999995,-118.143631
1,41.140772,-74.10497600000001
3,35.860496000000005,-84.100535
2,32.490693,-93.92546
286,33.794348,-118.116391
1,36.832389,-76.272082
2,35.926395,-84.079528
8,32.960046999999996,-96.838522
5,33.089853999999995,-96.6086
1,39.223909,-120.002554
3,39.227191999999995,-119.475598
2,40.049468,-105.201421
3,37.865777,-122.286321
1,40.043465000000005,-105.372324
4,32.962140999999995,-96.898585
5,39.53771,-118.26416499999999
1,40.157452,-75.124753
2,39.973222,-105.209276
1,37.863911,-122.27564299999999
5,36.117523,-79.894239
4,33.005262,-96.896742
3,39.565417,-119.17416499999999
7,40.045421000000005,-105.29126299999999
10,37.866535999999996,-122.25799599999999
2,39.975334000000004,-105.248158
3,37.865183,-122.23820900000001
1,36.655592999999996,-97.825727
3,37.898189,-122.27913000000001
2,37.902944,-122.26179499999999
2,37.879234000000004,-122.26683899999999
1,42.543889,-72.60945799999999
1,28.662553000000003,-81.411702
2,40.909287,-73.174729
2,40.738088,-73.08166999999999
3,40.677611999999996,-73.490014
4,40.868922999999995,-73.04121500000001
3,40.914926,-123.668723
7,38.886565000000004,-77.09523100000001
3,40.852924,-73.21126
17,40.818088,-73.21320899999999
3,38.856868,-77.05149200000001
2,38.873718,-77.117325
2,38.860791,-77.098972
1,45.936699,-89.29145
1,38.843917,-77.08940799999999
4,38.906665000000004,-77.124238
2,28.005478999999998,-82.2943
2,38.895022999999995,-77.075464
1,41.871037,-72.67508199999999
1,41.92763,-72.65970300000001
56289,40.820479,-73.925084
1,37.290444,-76.44779
111753,40.837393,-73.92343699999999
1,41.498342,-82.017368
119209,40.852779,-73.91233199999999
36379,40.805489,-73.916585
1,44.956401,-93.538993
3,42.503227,-71.201713
46962,40.81471,-73.90859300000001
105205,40.829881,-73.90812
108709,40.84715,-73.89868
128831,40.862543,-73.888143
60938,40.825866999999995,-73.892942
1,39.629385,-106.75003999999998
1,35.525282000000004,-82.97204599999999
5,43.049579,-87.89251999999999
1,41.704155,-70.231801
1,35.366187,-94.41645799999999
1,35.350978000000005,-94.36124699999999
1,42.977392,-87.89885100000001
2,43.047073,-87.967198
1,43.12778,-87.949473
1,47.500058,-122.357848
1,33.778436,-118.118648
1,47.444098,-122.324859
2,35.976144,-84.129965
2,56.370751,-131.693301
1,38.871778000000006,-119.604207
1,41.442343,-74.250577
1,41.319571999999994,-74.117639
7,33.114327,-96.69396400000001
2,41.044579999999996,-117.181049
16,37.863914,-122.30646499999999
1,38.480395,-118.63750700000001
6,32.963417,-96.984664
1,39.629338,-84.27596899999999
2,28.886189,-81.251417
1,28.855051,-81.678843
2,40.905957,-73.127374
11,40.828288,-73.505922
2,40.954997,-72.825588
1,45.805747,-122.510777
17,40.651288,-73.514726
1,45.776884,-121.665502
1,40.91336,-73.124883
3,40.709005,-73.296337
1,45.642413,-122.37961100000001
21,40.820208,-73.47245
1,40.752599,-73.378743
1,40.055796,-123.969269
2,27.940934000000002,-82.242479
1,36.079546,-90.51644
77369,40.841758,-73.879571
62826,40.847381,-73.84058399999999
1,40.342381,-76.08788
